,probe_number,X,Y,Z
263,608,220.58823529411765,225.0,1000
264,609,238.23529411764707,225.0,1000
265,615,-255.8823529411765,255.0,1000
266,624,-97.05882352941175,255.0,1000
267,640,185.29411764705884,255.0,1000
268,641,202.94117647058823,255.0,1000
269,647,-291.1764705882353,285.0,1000
270,659,-79.41176470588236,285.0,1000
271,669,97.05882352941175,285.0,1000
272,671,132.3529411764706,285.0,1000
273,672,150.0,285.0,1000
274,673,167.64705882352942,285.0,1000
275,677,238.23529411764707,285.0,1000
276,678,255.8823529411765,285.0,1000
277,680,291.1764705882353,285.0,1000
